,Name,Age,Photo,Nationality,Flag,,Potential,Club,Club Logo,Value(£),,,,,,,,,,,
5083,T. Xoki,27,https://cdn.sofifa.net/players/269/596/23_60.png,South Africa,https://cdn.sofifa.net/flags/za.png,,72,Orlando Pirates,https://cdn.sofifa.net/teams/110930/30.png,1600000,,,,,,,,,,,
5084,Jang Hyeon Soo,30,https://cdn.sofifa.net/players/211/005/23_60.png,Korea Republic,https://cdn.sofifa.net/flags/kr.png,,75,Al Hilal,https://cdn.sofifa.net/teams/605/30.png,4600000,,,,,,,,,,,
5085,T. Cele,25,https://cdn.sofifa.net/players/265/517/23_60.png,South Africa,https://cdn.sofifa.net/flags/za.png,,69,Radomiak Radom,https://cdn.sofifa.net/teams/111088/30.png,1000000,,,,,,,,,,,
5086,16 O. Al Muwallad,31,https://cdn.sofifa.net/players/174/003/16_60.png,Saudi Arabia,https://cdn.sofifa.net/flags/sa.png,,67,Al Ittihad,https://cdn.sofifa.net/teams/607/30.png,475000,,,,,,,,,,,
5087,S. Thórdarson,23,https://cdn.sofifa.net/players/262/551/23_60.png,Iceland,https://cdn.sofifa.net/flags/is.png,,73,Silkeborg IF,https://cdn.sofifa.net/teams/270/30.png,1600000,,,,,,,,,,,
5088,O. Kossounou,21,https://cdn.sofifa.net/players/246/875/23_60.png,Côte d'Ivoire,https://cdn.sofifa.net/flags/ci.png,,84,Bayer 04 Leverkusen,https://cdn.sofifa.net/teams/32/30.png,12000000,,,,,,,,,,,
5089,B. Egüez,30,https://cdn.sofifa.net/players/266/009/23_60.png,Bolivia,https://cdn.sofifa.net/flags/bo.png,,63,Club Deportivo Guabirá,https://cdn.sofifa.net/teams/114600/30.png,475000,,,,,,,,,,,
5090,T. Hamer,22,https://cdn.sofifa.net/players/243/252/23_60.png,England,https://cdn.sofifa.net/flags/gb-eng.png,,72,Burton Albion,https://cdn.sofifa.net/teams/15015/30.png,1300000,,,,,,,,,,,
5091,Ricard Artero,19,https://cdn.sofifa.net/players/264/735/23_60.png,Spain,https://cdn.sofifa.net/flags/es.png,,79,Girona FC,https://cdn.sofifa.net/teams/110062/30.png,1000000,,,,,,,,,,,
5092,22 N. Adams,34,https://cdn.sofifa.net/players/166/841/22_60.png,Wales,https://cdn.sofifa.net/flags/gb-wls.png,,62,Oldham Athletic,https://cdn.sofifa.net/teams/1920/30.png,190000,,,,,,,,,,,
5093,Ibañez,23,https://cdn.sofifa.net/players/247/257/23_60.png,Brazil,https://cdn.sofifa.net/flags/br.png,,83,Roma,https://cdn.sofifa.net/teams/52/30.png,22500000,,,,,,,,,,,
5094,22 J. Brooks,28,https://cdn.sofifa.net/players/204/082/22_60.png,United States,https://cdn.sofifa.net/flags/us.png,,79,VfL Wolfsburg,https://cdn.sofifa.net/teams/175/30.png,13500000,,,,,,,,,,,
5095,A. Mumin,24,https://cdn.sofifa.net/players/235/662/23_60.png,Ghana,https://cdn.sofifa.net/flags/gh.png,,78,Vitória de Guimarães,https://cdn.sofifa.net/teams/1887/30.png,3300000,,,,,,,,,,,
5096,J. Šutalo,22,https://cdn.sofifa.net/players/256/325/23_60.png,Croatia,https://cdn.sofifa.net/flags/hr.png,,84,Dinamo Zagreb,https://cdn.sofifa.net/teams/211/30.png,12000000,,,,,,,,,,,
5097,Gustavo Klismahn,22,https://cdn.sofifa.net/players/270/555/23_60.png,Brazil,https://cdn.sofifa.net/flags/br.png,,68,Portimonense SC,https://cdn.sofifa.net/teams/10031/30.png,525000,,,,,,,,,,,
5098,R. Williams,33,https://cdn.sofifa.net/players/173/703/23_60.png,Australia,https://cdn.sofifa.net/flags/au.png,,68,Western Sydney Wanderers,https://cdn.sofifa.net/teams/112427/30.png,575000,,,,,,,,,,,
5099,22 Toni Herrero,20,https://cdn.sofifa.net/players/258/034/22_60.png,Spain,https://cdn.sofifa.net/flags/es.png,,78,Levante Unión Deportiva,https://cdn.sofifa.net/teams/1853/30.png,1300000,,,,,,,,,,,
5100,15 A. Rikan,25,https://cdn.sofifa.net/players/216/696/15_60.png,Israel,https://cdn.sofifa.net/flags/il.png,,65,FC Zürich,https://cdn.sofifa.net/teams/894/30.png,240000,,,,,,,,,,,
5101,22 L. Torrico,34,https://cdn.sofifa.net/players/253/596/22_60.png,Bolivia,https://cdn.sofifa.net/flags/bo.png,,67,Club Atlético Nacional Potosí,https://cdn.sofifa.net/teams/112667/30.png,325000,,,,,,,,,,,
5102,22 D. Peretz,26,https://cdn.sofifa.net/players/263/489/22_60.png,Israel,https://cdn.sofifa.net/flags/il.png,,68,Venezia FC,https://cdn.sofifa.net/teams/205/30.png,950000,,,,,,,,,,,
5103,L. Appéré,23,https://cdn.sofifa.net/players/256/711/23_60.png,Scotland,https://cdn.sofifa.net/flags/gb-sct.png,,65,Northampton Town,https://cdn.sofifa.net/teams/1930/30.png,550000,,,,,,,,,,,
5104,22 L. Torres,24,https://cdn.sofifa.net/players/255/028/22_60.png,Argentina,https://cdn.sofifa.net/flags/ar.png,,69,Club Atlético Central Córdoba,https://cdn.sofifa.net/teams/112965/30.png,875000,,,,,,,,,,,
5105,I. Kanu,22,https://cdn.sofifa.net/players/240/345/23_60.png,Sierra Leone,https://cdn.sofifa.net/flags/sl.png,,70,Peterborough United,https://cdn.sofifa.net/teams/1938/30.png,850000,,,,,,,,,,,
5106,R. Holding,26,https://cdn.sofifa.net/players/228/295/23_60.png,England,https://cdn.sofifa.net/flags/gb-eng.png,,79,Arsenal,https://cdn.sofifa.net/teams/1/30.png,11500000,,,,,,,,,,,
5107,21 M. Mohsen,31,https://cdn.sofifa.net/players/211/453/21_60.png,Egypt,https://cdn.sofifa.net/flags/eg.png,,66,Manchester United,https://cdn.sofifa.net/flags/eg.png,0,,,,,,,,,,,
5108,D. Reasco,23,https://cdn.sofifa.net/players/254/069/23_60.png,Ecuador,https://cdn.sofifa.net/flags/ec.png,,71,Newell's Old Boys,https://cdn.sofifa.net/teams/110396/30.png,1100000,,,,,,,,,,,
5109,22 P. Solari,20,https://cdn.sofifa.net/players/256/509/22_60.png,Argentina,https://cdn.sofifa.net/flags/ar.png,,82,Colo-Colo,https://cdn.sofifa.net/teams/110980/30.png,4100000,,,,,,,,,,,
5110,A. Richardson,20,https://cdn.sofifa.net/players/262/236/23_60.png,France,https://cdn.sofifa.net/flags/fr.png,,77,Le Havre AC,https://cdn.sofifa.net/teams/1738/30.png,1800000,,,,,,,,,,,
5111,Gui,20,https://cdn.sofifa.net/players/263/634/23_60.png,Portugal,https://cdn.sofifa.net/flags/pt.png,,80,Unión Deportiva Almería,https://cdn.sofifa.net/teams/1861/30.png,1700000,,,,,,,,,,,
5112,21 T. Hamasaki,27,https://cdn.sofifa.net/players/255/078/21_60.png,Japan,https://cdn.sofifa.net/flags/jp.png,,68,Vegalta Sendai,https://cdn.sofifa.net/teams/112836/30.png,925000,,,,,,,,,,,
5113,A. Herzog,24,https://cdn.sofifa.net/players/242/748/23_60.png,Germany,https://cdn.sofifa.net/flags/de.png,,68,Hallescher FC,https://cdn.sofifa.net/teams/110482/30.png,625000,,,,,,,,,,,
5114,A. Schott,22,https://cdn.sofifa.net/players/244/757/23_60.png,Argentina,https://cdn.sofifa.net/flags/ar.png,,74,Club Atlético Colón,https://cdn.sofifa.net/teams/110406/30.png,1800000,,,,,,,,,,,
5115,21 I. Miño,28,https://cdn.sofifa.net/players/261/017/21_60.png,Paraguay,https://cdn.sofifa.net/flags/py.png,,64,Club River Plate Asunción,https://cdn.sofifa.net/teams/114575/30.png,575000,,,,,,,,,,,
5116,A. Madibo,25,https://cdn.sofifa.net/players/239/878/23_60.png,Qatar,https://cdn.sofifa.net/flags/qa.png,,70,Manchester United,https://cdn.sofifa.net/flags/qa.png,0,,,,,,,,,,,
5117,22 M. Bogusz,19,https://cdn.sofifa.net/players/247/351/22_60.png,Poland,https://cdn.sofifa.net/flags/pl.png,,82,UD Ibiza,https://cdn.sofifa.net/teams/113981/30.png,2200000,,,,,,,,,,,
5118,M. Papela,21,https://cdn.sofifa.net/players/253/475/23_60.png,Germany,https://cdn.sofifa.net/flags/de.png,,74,1. FSV Mainz 05,https://cdn.sofifa.net/teams/169/30.png,800000,,,,,,,,,,,
5119,Terrats,21,https://cdn.sofifa.net/players/259/521/23_60.png,Spain,https://cdn.sofifa.net/flags/es.png,,78,Girona FC,https://cdn.sofifa.net/teams/110062/30.png,2600000,,,,,,,,,,,
5120,22 M. Merentiel,25,https://cdn.sofifa.net/players/240/663/22_60.png,Uruguay,https://cdn.sofifa.net/flags/uy.png,,75,Defensa y Justicia,https://cdn.sofifa.net/teams/111710/30.png,3100000,,,,,,,,,,,
5121,22 Fábio,24,https://cdn.sofifa.net/players/260/965/22_60.png,Brazil,https://cdn.sofifa.net/flags/br.png,,76,New York Red Bulls,https://cdn.sofifa.net/teams/689/30.png,2900000,,,,,,,,,,,
5122,J. Bowler,23,https://cdn.sofifa.net/players/237/809/23_60.png,England,https://cdn.sofifa.net/flags/gb-eng.png,,75,Blackpool,https://cdn.sofifa.net/teams/1926/30.png,2400000,,,,,,,,,,,
5123,S. Surridge,23,https://cdn.sofifa.net/players/234/249/23_60.png,England,https://cdn.sofifa.net/flags/gb-eng.png,,77,Nottingham Forest,https://cdn.sofifa.net/teams/14/30.png,3000000,,,,,,,,,,,
5124,H. Keïta,20,https://cdn.sofifa.net/players/262/137/23_60.png,Mali,https://cdn.sofifa.net/flags/ml.png,,78,KV Kortrijk,https://cdn.sofifa.net/teams/100081/30.png,1700000,,,,,,,,,,,
5125,G. Bayrakdar,20,https://cdn.sofifa.net/players/258/898/23_60.png,Turkey,https://cdn.sofifa.net/flags/tr.png,,75,Antalyaspor,https://cdn.sofifa.net/teams/741/30.png,2200000,,,,,,,,,,,
5126,D. Diaw,30,https://cdn.sofifa.net/players/236/213/23_60.png,Italy,https://cdn.sofifa.net/flags/it.png,,71,Modena,https://cdn.sofifa.net/teams/1744/30.png,1800000,,,,,,,,,,,
5127,Francisco Conceição,19,https://cdn.sofifa.net/players/261/050/23_60.png,Portugal,https://cdn.sofifa.net/flags/pt.png,,86,Ajax,https://cdn.sofifa.net/teams/245/30.png,5500000,,,,,,,,,,,
5128,D. Collander,20,https://cdn.sofifa.net/players/246/920/23_60.png,Sweden,https://cdn.sofifa.net/flags/se.png,,73,Hammarby IF,https://cdn.sofifa.net/teams/708/30.png,800000,,,,,,,,,,,
5129,K. Bryan,25,https://cdn.sofifa.net/players/220/197/23_60.png,England,https://cdn.sofifa.net/flags/gb-eng.png,,71,West Bromwich Albion,https://cdn.sofifa.net/teams/109/30.png,1100000,,,,,,,,,,,
5130,14 B. Mendy,31,https://cdn.sofifa.net/players/005/231/14_60.png,France,https://cdn.sofifa.net/flags/fr.png,,63,Stade Brestois 29,https://cdn.sofifa.net/teams/378/30.png,120000,,,,,,,,,,,
5131,Martín,22,https://cdn.sofifa.net/players/257/248/23_60.png,Spain,https://cdn.sofifa.net/flags/es.png,,73,Granada CF,https://cdn.sofifa.net/teams/110832/30.png,900000,,,,,,,,,,,
5132,F. Bonazzoli,25,https://cdn.sofifa.net/players/223/137/23_60.png,Italy,https://cdn.sofifa.net/flags/it.png,,77,US Salernitana 1919,https://cdn.sofifa.net/teams/110373/30.png,4300000,,,,,,,,,,,
5133,L. Jephcott,22,https://cdn.sofifa.net/players/244/201/23_60.png,Wales,https://cdn.sofifa.net/flags/gb-wls.png,,69,Plymouth Argyle,https://cdn.sofifa.net/teams/1929/30.png,1100000,,,,,,,,,,,
5134,N. Silva,25,https://cdn.sofifa.net/players/267/723/23_60.png,Uruguay,https://cdn.sofifa.net/flags/uy.png,,66,Cerro Largo Fútbol Club,https://cdn.sofifa.net/teams/115536/30.png,625000,,,,,,,,,,,
5135,A. Sefer,22,https://cdn.sofifa.net/players/262/477/23_60.png,Romania,https://cdn.sofifa.net/flags/ro.png,,77,Rapid București,https://cdn.sofifa.net/teams/310/30.png,1900000,,,,,,,,,,,
5136,A. Pyrka,19,https://cdn.sofifa.net/players/257/886/23_60.png,Poland,https://cdn.sofifa.net/flags/pl.png,,74,Piast Gliwice,https://cdn.sofifa.net/teams/111086/30.png,1000000,,,,,,,,,,,
5137,M. Alonso,28,https://cdn.sofifa.net/players/266/667/23_60.png,Uruguay,https://cdn.sofifa.net/flags/uy.png,,67,Mushuc Runa,https://cdn.sofifa.net/teams/114615/30.png,1000000,,,,,,,,,,,
5138,K. Arase,23,https://cdn.sofifa.net/players/236/490/23_60.png,Austria,https://cdn.sofifa.net/flags/at.png,,76,Karlsruher SC,https://cdn.sofifa.net/teams/1832/30.png,2800000,,,,,,,,,,,
5139,22 G. Hoarau,37,https://cdn.sofifa.net/players/156/432/22_60.png,France,https://cdn.sofifa.net/flags/fr.png,,66,FC Sion,https://cdn.sofifa.net/teams/110770/30.png,300000,,,,,,,,,,,
5140,R. Garro,24,https://cdn.sofifa.net/players/267/629/23_60.png,Argentina,https://cdn.sofifa.net/flags/ar.png,,75,Club Atlético Talleres,https://cdn.sofifa.net/teams/112670/30.png,2400000,,,,,,,,,,,
5141,22 Laguardia,31,https://cdn.sofifa.net/players/194/222/22_60.png,Spain,https://cdn.sofifa.net/flags/es.png,,78,Deportivo Alavés,https://cdn.sofifa.net/teams/463/30.png,9500000,,,,,,,,,,,
5142,22 P. Bojić,29,https://cdn.sofifa.net/players/263/200/22_60.png,Serbia,https://cdn.sofifa.net/flags/rs.png,,66,Sepsi OSK Sf. Gheorghe,https://cdn.sofifa.net/teams/113378/30.png,850000,,,,,,,,,,,
5143,21 Ibra Pérez,18,https://cdn.sofifa.net/players/258/454/21_60.png,Spain,https://cdn.sofifa.net/flags/es.png,,78,CD Tenerife,https://cdn.sofifa.net/teams/260/30.png,1000000,,,,,,,,,,,
5144,22 Camus,24,https://cdn.sofifa.net/players/228/869/22_60.png,Spain,https://cdn.sofifa.net/flags/es.png,,70,Atlético de Madrid,https://cdn.sofifa.net/teams/240/30.png,1000000,,,,,,,,,,,
5145,J. Gorenc Stanković,26,https://cdn.sofifa.net/players/226/129/23_60.png,Slovenia,https://cdn.sofifa.net/flags/si.png,,75,SK Sturm Graz,https://cdn.sofifa.net/teams/209/30.png,3400000,,,,,,,,,,,
5146,R. Aarons,26,https://cdn.sofifa.net/players/222/513/23_60.png,Jamaica,https://cdn.sofifa.net/flags/jm.png,,68,Huddersfield Town,https://cdn.sofifa.net/teams/1939/30.png,1200000,,,,,,,,,,,
5147,M. Dárdai,20,https://cdn.sofifa.net/players/256/780/23_60.png,Germany,https://cdn.sofifa.net/flags/de.png,,82,Hertha BSC,https://cdn.sofifa.net/teams/166/30.png,3800000,,,,,,,,,,,
5148,O. Holm,19,https://cdn.sofifa.net/players/246/860/23_60.png,Norway,https://cdn.sofifa.net/flags/no.png,,80,Vålerenga Fotball,https://cdn.sofifa.net/teams/920/30.png,1000000,,,,,,,,,,,
5149,B. Galván,21,https://cdn.sofifa.net/players/241/027/23_60.png,Argentina,https://cdn.sofifa.net/flags/ar.png,,76,Colorado Rapids,https://cdn.sofifa.net/teams/694/30.png,1600000,,,,,,,,,,,
5150,I. Gruev,22,https://cdn.sofifa.net/players/248/384/23_60.png,Bulgaria,https://cdn.sofifa.net/flags/bg.png,,74,SV Werder Bremen,https://cdn.sofifa.net/teams/38/30.png,1800000,,,,,,,,,,,
5151,21 H. Céspedes,21,https://cdn.sofifa.net/players/259/931/21_60.png,Bolivia,https://cdn.sofifa.net/flags/bo.png,,72,Club Bolívar,https://cdn.sofifa.net/teams/110968/30.png,1500000,,,,,,,,,,,
5152,J. Carbonero,22,https://cdn.sofifa.net/players/242/654/23_60.png,Colombia,https://cdn.sofifa.net/flags/co.png,,78,Racing Club,https://cdn.sofifa.net/teams/101085/30.png,3600000,,,,,,,,,,,
5153,19 C. Pasquato,28,https://cdn.sofifa.net/players/189/437/19_60.png,Italy,https://cdn.sofifa.net/flags/it.png,,69,Legia Warszawa,https://cdn.sofifa.net/teams/1871/30.png,1100000,,,,,,,,,,,
5154,H. Mejbri,19,https://cdn.sofifa.net/players/258/171/23_60.png,Tunisia,https://cdn.sofifa.net/flags/tn.png,,84,Manchester United,https://cdn.sofifa.net/teams/11/30.png,1600000,,,,,,,,,,,
5155,J. Stevens,22,https://cdn.sofifa.net/players/241/263/23_60.png,England,https://cdn.sofifa.net/flags/gb-eng.png,,69,Barrow,https://cdn.sofifa.net/teams/381/30.png,725000,,,,,,,,,,,
5156,R. Hack,23,https://cdn.sofifa.net/players/239/367/23_60.png,Germany,https://cdn.sofifa.net/flags/de.png,,77,DSC Arminia Bielefeld,https://cdn.sofifa.net/teams/159/30.png,3200000,,,,,,,,,,,
5157,M. Boxall,33,https://cdn.sofifa.net/players/202/170/23_60.png,New Zealand,https://cdn.sofifa.net/flags/nz.png,,69,Minnesota United FC,https://cdn.sofifa.net/teams/111138/30.png,675000,,,,,,,,,,,
5158,D. Jastrzembski,22,https://cdn.sofifa.net/players/244/509/23_60.png,Poland,https://cdn.sofifa.net/flags/pl.png,,73,Śląsk Wrocław,https://cdn.sofifa.net/teams/111092/30.png,1700000,,,,,,,,,,,
5159,L. Vega,23,https://cdn.sofifa.net/players/263/671/23_60.png,Argentina,https://cdn.sofifa.net/flags/ar.png,,71,Clube Sport Marítimo,https://cdn.sofifa.net/teams/1893/30.png,1100000,,,,,,,,,,,
5160,Bermejo,24,https://cdn.sofifa.net/players/252/864/23_60.png,Spain,https://cdn.sofifa.net/flags/es.png,,73,Real Zaragoza,https://cdn.sofifa.net/teams/244/30.png,1600000,,,,,,,,,,,
5161,22 S. Sohlmacher,29,https://cdn.sofifa.net/players/268/370/22_60.png,Germany,https://cdn.sofifa.net/flags/de.png,,63,Türkgücü München,https://cdn.sofifa.net/teams/114398/30.png,475000,,,,,,,,,,,
5162,21 V. Lazăr,30,https://cdn.sofifa.net/players/255/379/21_60.png,Romania,https://cdn.sofifa.net/flags/ro.png,,68,FC Dinamo 1948 Bucureşti,https://cdn.sofifa.net/teams/100757/30.png,1200000,,,,,,,,,,,
5163,M. Opeyemi,18,https://cdn.sofifa.net/players/271/264/23_60.png,Nigeria,https://cdn.sofifa.net/flags/ng.png,,73,FC Vizela,https://cdn.sofifa.net/teams/111539/30.png,1000000,,,,,,,,,,,
5164,22 T. Thomas,22,https://cdn.sofifa.net/players/259/115/22_60.png,Côte d'Ivoire,https://cdn.sofifa.net/flags/ci.png,,67,FC Lausanne-Sport,https://cdn.sofifa.net/teams/1862/30.png,500000,,,,,,,,,,,
5165,Pablo Moreno,20,https://cdn.sofifa.net/players/257/566/23_60.png,Spain,https://cdn.sofifa.net/flags/es.png,,78,Clube Sport Marítimo,https://cdn.sofifa.net/teams/1893/30.png,2700000,,,,,,,,,,,
5166,G. Svensson,35,https://cdn.sofifa.net/players/177/448/23_60.png,Sweden,https://cdn.sofifa.net/flags/se.png,,69,IFK Göteborg,https://cdn.sofifa.net/teams/319/30.png,400000,,,,,,,,,,,
5167,Rodrigo Andrade,20,https://cdn.sofifa.net/players/264/308/23_60.png,Portugal,https://cdn.sofifa.net/flags/pt.png,,76,Clube Sport Marítimo,https://cdn.sofifa.net/teams/1893/30.png,1400000,,,,,,,,,,,
5168,V. Bayo,25,https://cdn.sofifa.net/players/246/832/23_60.png,Côte d'Ivoire,https://cdn.sofifa.net/flags/ci.png,,72,Watford,https://cdn.sofifa.net/teams/1795/30.png,1900000,,,,,,,,,,,
5169,22 A. Oliveros,22,https://cdn.sofifa.net/players/256/158/22_60.png,Uruguay,https://cdn.sofifa.net/flags/uy.png,,77,Club Necaxa,https://cdn.sofifa.net/teams/101121/30.png,2500000,,,,,,,,,,,
5170,L. Fröde,27,https://cdn.sofifa.net/players/227/932/23_60.png,Germany,https://cdn.sofifa.net/flags/de.png,,69,F.C. Hansa Rostock,https://cdn.sofifa.net/teams/27/30.png,1200000,,,,,,,,,,,
5171,J. Espinoza,23,https://cdn.sofifa.net/players/254/211/23_60.png,Ecuador,https://cdn.sofifa.net/flags/ec.png,,72,Chicago Fire Football Club,https://cdn.sofifa.net/teams/693/30.png,1300000,,,,,,,,,,,
5172,M. Hoffmeier,22,https://cdn.sofifa.net/players/250/926/23_60.png,Germany,https://cdn.sofifa.net/flags/de.png,,73,SC Paderborn 07,https://cdn.sofifa.net/teams/10030/30.png,1200000,,,,,,,,,,,
5173,21 E. Redín,25,https://cdn.sofifa.net/players/254/046/21_60.png,Uruguay,https://cdn.sofifa.net/flags/uy.png,,67,Club Plaza de Deportes Colonia,https://cdn.sofifa.net/teams/114024/30.png,725000,,,,,,,,,,,
5174,A. Hunter,26,https://cdn.sofifa.net/players/226/679/23_60.png,England,https://cdn.sofifa.net/flags/gb-eng.png,,63,Morecambe,https://cdn.sofifa.net/teams/357/30.png,525000,,,,,,,,,,,
5175,T. Moffi,23,https://cdn.sofifa.net/players/255/000/23_60.png,Nigeria,https://cdn.sofifa.net/flags/ng.png,,78,FC Lorient,https://cdn.sofifa.net/teams/217/30.png,3700000,,,,,,,,,,,
5176,21 Álex Cruz,20,https://cdn.sofifa.net/players/254/785/21_60.png,Spain,https://cdn.sofifa.net/flags/es.png,,72,CD Tenerife,https://cdn.sofifa.net/teams/260/30.png,600000,,,,,,,,,,,
5177,A. Sández,21,https://cdn.sofifa.net/players/263/518/23_60.png,Argentina,https://cdn.sofifa.net/flags/ar.png,,76,Boca Juniors,https://cdn.sofifa.net/teams/1877/30.png,2600000,,,,,,,,,,,
5178,B. Yılmaz,22,https://cdn.sofifa.net/players/263/205/23_60.png,Turkey,https://cdn.sofifa.net/flags/tr.png,,72,Galatasaray SK,https://cdn.sofifa.net/teams/325/30.png,1400000,,,,,,,,,,,
5179,22 M. Marshall,34,https://cdn.sofifa.net/players/189/868/22_60.png,Jamaica,https://cdn.sofifa.net/flags/jm.png,,60,Crawley Town,https://cdn.sofifa.net/teams/110890/30.png,120000,,,,,,,,,,,
5180,M. Alonso,19,https://cdn.sofifa.net/players/260/739/23_60.png,Uruguay,https://cdn.sofifa.net/flags/uy.png,,77,Club Atlético Peñarol,https://cdn.sofifa.net/teams/101110/30.png,1700000,,,,,,,,,,,
5181,G. Pușcaș,26,https://cdn.sofifa.net/players/225/652/23_60.png,Romania,https://cdn.sofifa.net/flags/ro.png,,71,Reading,https://cdn.sofifa.net/teams/1793/30.png,1600000,,,,,,,,,,,
5182,A. Bareiro,25,https://cdn.sofifa.net/players/246/690/23_60.png,Paraguay,https://cdn.sofifa.net/flags/py.png,,74,San Lorenzo de Almagro,https://cdn.sofifa.net/teams/1013/30.png,2500000,,,,,,,,,,,
5183,21 M. Raspopović,26,https://cdn.sofifa.net/players/260/306/21_60.png,Montenegro,https://cdn.sofifa.net/flags/me.png,,64,AFC Astra Giurgiu,https://cdn.sofifa.net/teams/112847/30.png,525000,,,,,,,,,,,
5184,C. Cvetko,25,https://cdn.sofifa.net/players/262/383/23_60.png,Austria,https://cdn.sofifa.net/flags/at.png,,68,SK Austria Klagenfurt,https://cdn.sofifa.net/teams/1787/30.png,850000,,,,,,,,,,,
5185,18 Wanderson,22,https://cdn.sofifa.net/players/210/872/18_60.png,Brazil,https://cdn.sofifa.net/flags/br.png,,80,FC Krasnodar,https://cdn.sofifa.net/teams/112218/30.png,4600000,,,,,,,,,,,
5186,P. Lienhart,25,https://cdn.sofifa.net/players/231/366/23_60.png,Austria,https://cdn.sofifa.net/flags/at.png,,80,Sport-Club Freiburg,https://cdn.sofifa.net/teams/25/30.png,15500000,,,,,,,,,,,
5187,22 F. Zambrano,24,https://cdn.sofifa.net/players/260/308/22_60.png,Ecuador,https://cdn.sofifa.net/flags/ec.png,,67,Club Social y Deportivo Macará,https://cdn.sofifa.net/teams/114578/30.png,600000,,,,,,,,,,,
5188,M. Phaëton,22,https://cdn.sofifa.net/players/246/230/23_60.png,France,https://cdn.sofifa.net/flags/fr.png,,73,Grenoble Foot 38,https://cdn.sofifa.net/teams/1805/30.png,1600000,,,,,,,,,,,
5189,I. Lomami,18,https://cdn.sofifa.net/players/269/854/23_60.png,France,https://cdn.sofifa.net/flags/fr.png,,78,Olympique Lyonnais,https://cdn.sofifa.net/teams/66/30.png,1600000,,,,,,,,,,,
5190,M. Garbett,20,https://cdn.sofifa.net/players/255/360/23_60.png,New Zealand,https://cdn.sofifa.net/flags/nz.png,,76,Torino F.C.,https://cdn.sofifa.net/teams/54/30.png,1200000,,,,,,,,,,,
5191,Song Si Woo,28,https://cdn.sofifa.net/players/233/581/23_60.png,Korea Republic,https://cdn.sofifa.net/flags/kr.png,,65,Incheon United FC,https://cdn.sofifa.net/teams/110765/30.png,725000,,,,,,,,,,,
5192,W. Ayoví,25,https://cdn.sofifa.net/players/265/618/23_60.png,Ecuador,https://cdn.sofifa.net/flags/ec.png,,68,Mushuc Runa,https://cdn.sofifa.net/teams/114615/30.png,1100000,,,,,,,,,,,
5193,22 L. Adžić,22,https://cdn.sofifa.net/players/243/641/22_60.png,Serbia,https://cdn.sofifa.net/flags/rs.png,,71,PEC Zwolle,https://cdn.sofifa.net/teams/1914/30.png,1100000,,,,,,,,,,,
5194,22 Raphael Paneira,21,https://cdn.sofifa.net/players/230/480/22_60.png,Brazil,https://cdn.sofifa.net/flags/br.png,,71,Grêmio,https://cdn.sofifa.net/teams/1629/30.png,2200000,,,,,,,,,,,
5195,22 K. Alıcı,24,https://cdn.sofifa.net/players/259/164/22_60.png,Turkey,https://cdn.sofifa.net/flags/tr.png,,72,Göztepe SK,https://cdn.sofifa.net/teams/101026/30.png,1400000,,,,,,,,,,,
5196,22 C. Briones,16,https://cdn.sofifa.net/players/268/589/22_60.png,Ecuador,https://cdn.sofifa.net/flags/ec.png,,78,Independiente del Valle,https://cdn.sofifa.net/teams/112908/30.png,550000,,,,,,,,,,,
5197,Bruno Duarte,26,https://cdn.sofifa.net/players/252/830/23_60.png,Brazil,https://cdn.sofifa.net/flags/br.png,,72,Damac FC,https://cdn.sofifa.net/teams/113217/30.png,1800000,,,,,,,,,,,
5198,22 Deni Gaúcho,28,https://cdn.sofifa.net/players/261/560/22_60.png,Brazil,https://cdn.sofifa.net/flags/br.png,,61,Club Atlético Nacional Potosí,https://cdn.sofifa.net/teams/112667/30.png,325000,,,,,,,,,,,
5199,19 B. Maguire,28,https://cdn.sofifa.net/players/187/830/19_60.png,Netherlands,https://cdn.sofifa.net/flags/nl.png,,62,Limerick FC,https://cdn.sofifa.net/teams/111285/30.png,300000,,,,,,,,,,,
5200,S. Almadjed,26,https://cdn.sofifa.net/players/266/056/23_60.png,Sweden,https://cdn.sofifa.net/flags/se.png,,64,Helsingborgs IF,https://cdn.sofifa.net/teams/432/30.png,425000,,,,,,,,,,,
5201,K. Lamadrid,18,https://cdn.sofifa.net/players/268/564/23_60.png,Venezuela,https://cdn.sofifa.net/flags/ve.png,,76,Deportivo La Guaira FC,https://cdn.sofifa.net/teams/112853/30.png,875000,,,,,,,,,,,
5202,R. Gómez,21,https://cdn.sofifa.net/players/253/612/23_60.png,Bolivia,https://cdn.sofifa.net/flags/bo.png,,73,Club The Strongest,https://cdn.sofifa.net/teams/110969/30.png,1200000,,,,,,,,,,,
5203,C. Evans,31,https://cdn.sofifa.net/players/186/135/23_60.png,Northern Ireland,https://cdn.sofifa.net/flags/gb-nir.png,,65,Sunderland,https://cdn.sofifa.net/teams/106/30.png,500000,,,,,,,,,,,
5204,G. Giro,19,https://cdn.sofifa.net/players/268/309/23_60.png,Venezuela,https://cdn.sofifa.net/flags/ve.png,,68,Deportivo La Guaira FC,https://cdn.sofifa.net/teams/112853/30.png,475000,,,,,,,,,,,
